idt,sex,pari,city,migra,pari2,pari3,dens1,denscat1,age,agegr,civ3,civ4,educ,occup,mpm
32802,2,1,2,1,2,2,1.5,2,18,1,2,2,1,2,1
33001,2,0,1,0,1,1,1.5,2,27,1,1,1,2,1,1
33102,1,2,2,0,2,2,2.5,3,31,2,2,2,1,1,0
33103,2,1,3,0,2,2,.8,1,38,2,2,2,2,1,1
33201,2,0,1,1,1,1,2,3,29,1,1,1,2,3,1
33201,2,0,2,1,1,1,1.3,2,52,3,1,1,1,2,0
33501,1,2,1,1,2,2,4,3,24,1,2,2,1,1,1
33502,2,2,1,1,2,2,4,3,28,1,2,2,1,2,1
33504,1,0,3,0,1,1,1.3,2,23,1,1,1,2,1,1
33803,1,0,3,0,1,1,1.3,2,16,1,1,1,1,1,0
33902,2,0,3,0,1,1,.4,1,46,3,2,2,2,2,0
33902,2,,1,1,,,1.2,2,48,3,2,2,1,3,1
33903,1,0,3,0,1,1,.4,1,25,1,1,1,2,1,0
33903,1,2,1,1,2,2,1.2,2,30,2,2,2,2,1,0
34102,2,0,1,1,1,1,1.3,2,57,3,2,2,1,2,1
34303,2,0,3,0,1,1,.4,1,15,1,1,1,1,1,0
34501,2,0,1,1,1,1,1.7,2,59,3,3,3,2,2,1
34503,2,0,1,0,1,1,1.7,2,24,1,1,1,1,1,1
34504,2,0,1,0,1,1,1.7,2,23,1,1,1,1,1,1
34602,2,0,3,1,1,1,.4,1,71,3,2,2,1,2,1
34903,2,0,1,0,1,1,2,3,15,1,1,1,1,1,1
35202,2,,3,1,,,.4,1,55,3,2,2,1,1,1
35301,1,3,1,1,2,3,1,2,31,2,2,2,1,1,1
35402,2,3,1,1,2,3,2.5,3,23,1,2,2,1,2,1
35402,2,0,3,1,1,1,.8,1,50,3,2,2,1,2,0
35602,2,2,1,1,2,2,2,3,38,2,2,2,1,2,1
35605,1,0,1,0,1,1,2,3,17,1,1,1,1,1,0
35802,2,3,1,0,2,3,1.7,2,27,1,2,2,2,1,1
35805,2,0,3,0,1,1,.8,1,19,1,1,1,2,1,0
35902,2,0,2,0,1,1,2,3,26,1,1,1,1,1,1
35902,2,0,3,1,1,1,.8,1,45,3,2,2,1,1,1
35903,1,0,2,0,1,1,2,3,24,1,1,1,1,1,1
36001,1,2,3,0,2,2,1.3,2,35,2,2,2,1,1,0
36002,2,1,2,1,2,2,1.8,3,54,3,2,2,1,2,0
36101,2,2,2,1,2,2,1,2,30,2,2,2,2,2,0
36105,2,0,1,0,1,1,1.8,3,16,1,1,1,1,1,1
36202,2,1,1,1,2,2,1.5,2,21,1,2,2,1,2,1
36202,2,3,2,1,2,3,1.7,2,30,2,2,2,1,2,0
36304,1,0,1,1,1,1,1.8,3,39,2,2,2,1,3,0
36701,1,0,1,0,1,1,1,2,22,1,2,2,1,1,1
36701,2,0,2,1,1,1,.3,1,69,3,3,3,1,1,1
36801,1,0,1,1,1,1,2,3,35,2,2,2,1,3,0
36901,1,0,3,1,1,1,.4,1,61,3,1,1,1,1,0
36902,2,1,2,1,2,2,1.3,2,43,2,2,2,1,2,1
36902,2,0,3,1,1,1,.4,1,61,3,1,1,1,1,1
37301,2,0,1,1,1,1,.5,1,56,3,1,1,1,1,1
37502,2,0,3,0,1,1,.7,1,60,3,2,2,1,2,1
